iteration,loss_verified,loss_flawed,adjoint_error_verified,adjoint_error_flawed
0,0.20002810206605037,0.20002810206605037,1e-15,0.35
1,0.10012985346040115,0.10007152419066667,1e-15,0.35
2,0.043406064947135614,0.037548440896532864,1e-15,0.35
3,0.01726102001508978,0.00825724517402926,1e-15,0.35
4,0.006589048928667407,0.00011025853781565509,1e-15,0.35
5,0.002473092986434944,0.002500133305960106,1e-15,0.35
6,0.0009221762479921791,0.0004175344369047318,1e-15,0.35
7,0.00034301545358783603,0.0018138742457610713,1e-15,0.35
8,0.00012747123489775802,0.0006761294744711543,1e-15,0.35
9,4.735450810955388e-05,0.001476723709717076,1e-15,0.35
10,1.758955858632838e-05,0.0008482369737653483,1e-15,0.35
11,6.533229620409031e-06,0.0013027067497269895,1e-15,0.35
12,2.4265723291838626e-06,0.000953264301943979,1e-15,0.35
13,9.012716563061574e-07,0.001209860766466453,1e-15,0.35
14,3.347473354065045e-07,0.0010148389525773682,1e-15,0.35
15,1.243306352316509e-07,0.0011592847880361745,1e-15,0.35
16,4.617841586895821e-08,0.0010502118289565932,1e-15,0.35
17,1.715141106917173e-08,0.0011313906839200971,1e-15,0.35
18,6.370312055636873e-09,0.0010703140957200041,1e-15,0.35
19,2.3660369219413724e-09,0.001115894841236642,1e-15,0.35
20,8.787843785995619e-10,0.0010816710966828902,1e-15,0.35
21,3.2639513314336455e-10,0.0011072508701366335,1e-15,0.35
22,1.2122880477249964e-10,0.0010880665596031402,1e-15,0.35
23,4.50266490759077e-11,0.001102417719577975,1e-15,0.35
24,1.6723955553743508e-11,0.0010916615399162444,1e-15,0.35
