time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-10.0,8.2446144557674e-08,2.9561298243261784e-07,4.693311780301911e-07
-9.960937499999998,8.914553746719641e-08,2.9676036868406124e-07,4.6967320814971073e-07
-9.921875,9.638930835073552e-08,2.99626535316213e-07,4.6998310049395256e-07
-9.882812499999998,1.0422169216803053e-07,3.02646689080751e-07,4.703408375077756e-07
-9.84375,1.126905183145156e-07,3.068018933846688e-07,4.7126362161254565e-07
-9.8046875,1.2184750269726118e-07,3.120630325278495e-07,4.7538319330073847e-07
-9.765625,1.3174856354435904e-07,3.170866955371614e-07,4.803598443845048e-07
-9.7265625,1.4245416287628125e-07,3.2312970591327203e-07,4.864719148863535e-07
-9.687499999999998,1.5402967572444816e-07,3.296789131411692e-07,4.945010103608243e-07
-9.6484375,1.665457893516775e-07,3.361609416113202e-07,5.035537630585956e-07
-9.609375,1.800789349124127e-07,3.442945214343718e-07,5.145163559009138e-07
-9.5703125,1.947117541886946e-07,3.5297390220182814e-07,5.267977293376981e-07
-9.53125,2.1053360425207268e-07,3.6244277196125645e-07,5.407325939804764e-07
-9.492187499999998,2.276411031332222e-07,3.7444231633274175e-07,5.566771696867784e-07
-9.453125,2.461387198314587e-07,3.891164300353488e-07,5.734815839022136e-07
-9.414062499999998,2.661394122671279e-07,4.055950144479541e-07,5.935391441475974e-07
-9.375,2.877653170725714e-07,4.225681678355123e-07,6.150692914577185e-07
-9.3359375,3.1114849543398424e-07,4.419629403042555e-07,6.368516771251424e-07
-9.296875,3.36431739538713e-07,4.622310689528735e-07,6.611555765401714e-07
-9.2578125,3.63769444552664e-07,4.835784400571114e-07,6.889645869380557e-07
-9.218749999999998,3.933285514526478e-07,5.075156191543519e-07,7.211985346015516e-07
-9.1796875,4.2528956647116105e-07,5.326685107042698e-07,7.572979577139891e-07
-9.140625,4.5984766337898697e-07,5.594016932227591e-07,7.968789800562385e-07
-9.1015625,4.972138753367776e-07,5.895773387428369e-07,8.375735632942482e-07
-9.0625,5.376163835938316e-07,6.211292875732764e-07,8.813830878404778e-07
-9.023437499999998,5.813019109036264e-07,6.569768097073535e-07,9.307267144439262e-07
-8.984375,6.285372281651319e-07,6.976846636178712e-07,9.830297588015728e-07
-8.945312499999998,6.796107834904202e-07,7.44114908499588e-07,1.0401932781531086e-06
-8.90625,7.348344636465623e-07,7.94236231397221e-07,1.1020859251430464e-06
-8.8671875,7.945454986283161e-07,8.481079426644935e-07,1.1688580245747476e-06
-8.828125,8.591085209920248e-07,9.072779699637358e-07,1.2414389956197723e-06
-8.7890625,9.289177925262698e-07,9.693307388428076e-07,1.3191260223891362e-06
-8.749999999999998,1.0043996118566644e-06,1.0374362561465346e-06,1.4043849593119335e-06
-8.7109375,1.0860149176870272e-06,1.1123120371283916e-06,1.4950615933678709e-06
-8.671875,1.1742621035739571e-06,1.1915285875095255e-06,1.5929558008021555e-06
-8.6328125,1.2696800614233596e-06,1.276959645633889e-06,1.7015255854884518e-06
-8.59375,1.3728514722944318e-06,1.3693667239254371e-06,1.81576155720579e-06
-8.554687499999998,1.4844063646066278e-06,1.467781475914338e-06,1.9361775391022387e-06
-8.515625,1.6050259614780765e-06,1.5776631753098043e-06,2.0639226447813263e-06
-8.476562499999998,1.7354468406896453e-06,1.6966768665073983e-06,2.200507802505998e-06
-8.4375,1.8764654326776201e-06,1.8289395084497012e-06,2.3451166663588653e-06
-8.3984375,2.0289428840225136e-06,1.969545025661941e-06,2.49812251357496e-06
