wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
-820.6210444426857,3.5618907901467675e-24,2.6601422161160725e-24,2.924126526796933e-24
-817.4154934878316,3.562512221788484e-24,3.002202823852689e-24,3.126328942164737e-24
-814.2099425329773,3.5625122217865456e-24,4.033676495156443e-24,4.021992425537061e-24
-811.0043915781231,3.5646876593828955e-24,4.257224244552977e-24,4.099628072857387e-24
-807.7988406232688,3.565931064706228e-24,2.472535810306421e-24,2.5333564638743434e-24
-804.5932896684145,3.5688850213780304e-24,2.5868704572361968e-24,2.6884767184869525e-24
-801.3877387135603,3.5716846346584045e-24,3.248208716452835e-24,3.255436155400444e-24
-798.182187758706,3.574952237552265e-24,2.780439994876491e-24,2.8108838647882555e-24
-794.9766368038518,3.579233500556992e-24,3.259829554254737e-24,3.2627129528606377e-24
-791.7710858489976,3.583751062462911e-24,3.2868869733296736e-24,3.31612867889637e-24
-788.5655348941433,3.5888952020844495e-24,3.839678197909234e-24,3.7283937143716994e-24
-785.3599839392892,3.594589229518414e-24,3.5898550148194226e-24,3.465997695416496e-24
-782.154432984435,3.600795393071742e-24,3.9799818506666545e-24,3.741798467583701e-24
-778.9488820295807,3.607651807950785e-24,4.074288728996288e-24,3.805422644981262e-24
-775.7433310747265,3.614945116471225e-24,3.778581120541055e-24,3.534599997764549e-24
-772.5377801198722,3.622872464346976e-24,3.684744511785627e-24,3.4478632436527555e-24
-769.3322291650179,3.631308461327585e-24,3.3952644663531804e-24,3.2292785415597915e-24
-766.1266782101637,3.640284297803336e-24,3.133398375701065e-24,3.0201812419099483e-24
-762.9211272553094,3.6499985087511014e-24,2.8919807450750907e-24,2.840800183172918e-24
-759.7155763004552,3.6602915943011676e-24,2.5783516467803864e-24,2.592645333989697e-24
-756.510025345601,3.6709737291092505e-24,2.3328903438180446e-24,2.404242451523591e-24
-753.3044743907467,3.6823920725998155e-24,2.2147200563358288e-24,2.3063231483049887e-24
-750.0989234358924,3.694446149445407e-24,2.083223931642466e-24,2.2050543906291385e-24
-746.893372481038,3.706963167821472e-24,2.083378495487736e-24,2.2119972982650278e-24
-743.687821526184,3.7202380949666134e-24,2.115894181030165e-24,2.248451622228968e-24
-740.4822705713298,3.73393065735587e-24,2.2745492443352277e-24,2.39845558197608e-24
-737.2767196164754,3.748531075908936e-24,2.6678319620762865e-24,2.743129559915892e-24
-734.0711686616213,3.763559195041219e-24,3.3140590077859305e-24,3.297487691334557e-24
-730.865617706767,3.7792918149928795e-24,4.125196291757927e-24,3.9871460965116146e-24
-727.6600667519126,3.795783267854532e-24,4.8974154239844e-24,4.650262977456191e-24
-724.4545157970585,3.812814771849307e-24,5.457362695367362e-24,5.126463947051402e-24
-721.2489648422043,3.830556159952523e-24,5.756077884492225e-24,5.3776426584508394e-24
-718.0434138873499,3.848910226974413e-24,5.865967133468411e-24,5.464650863504412e-24
-714.8378629324958,3.86794493594946e-24,5.857083123867593e-24,5.447746153605569e-24
-711.6323119776415,3.88779448520059e-24,5.76140177005256e-24,5.372739132694521e-24
-708.4267610227873,3.9083600350029e-24,5.666234285470495e-24,5.299721699130344e-24
-705.2212100679332,3.9295894793757874e-24,5.588578172893972e-24,5.244250858058696e-24
-702.0156591130789,3.951665294732999e-24,5.50328985227656e-24,5.183491278205315e-24
-698.8101081582246,3.974362532042907e-24,5.376762864708714e-24,5.0900974084807146e-24
-695.6045572033704,3.997883683668754e-24,5.248238819909853e-24,4.991845290778896e-24
-692.3990062485161,4.022125025103765e-24,5.164715209566816e-24,4.9239802974704496e-24
-689.1934552936618,4.047175893768042e-24,5.102001574690727e-24,4.867739922939783e-24
-685.9879043388077,4.0731094884335e-24,4.994149429168433e-24,4.767237457023215e-24
-682.7823533839534,4.0998584756361556e-24,4.783387571542981e-24,4.57912457973218e-24
-679.5768024290991,4.1275023832568055e-24,4.484462225414878e-24,4.3148168630256774e-24
-676.3712514742449,4.15579189181699e-24,4.148098486345767e-24,4.0172332272627886e-24
-673.1657005193907,4.185015003418784e-24,3.866495066075298e-24,3.770794269858923e-24
-669.9601495645364,4.2152300120606e-24,3.718036110086034e-24,3.643299537970929e-24
-666.7545986096823,4.2463977988513786e-24,3.7420468572894176e-24,3.667552518866835e-24
-663.549047654828,4.278376035623694e-24,3.900736558474358e-24,3.816189237744317e-24
-660.3434966999737,4.311237963185954e-24,4.12194569012892e-24,4.0234779710850125e-24
-657.1379457451195,4.345501726857609e-24,4.345498703803287e-24,4.2315656875007825e-24
-653.9323947902652,4.3802806462457294e-24,4.549184886833453e-24,4.419658577021858e-24
-650.7268438354109,4.416341427617889e-24,4.726148604906697e-24,4.583845940881052e-24
-647.5212928805568,4.4530304152910506e-24,4.850277920008773e-24,4.7025466135485366e-24
-644.3157419257025,4.491370200088532e-24,4.866398046889606e-24,4.7274081925250785e-24
-641.1101909708482,4.530378021739659e-24,4.723580170999374e-24,4.6140703645398396e-24
-637.904640015994,4.570786299258948e-24,4.444187128761757e-24,4.3755332922435954e-24
-634.6990890611398,4.612097634875685e-24,4.127451601028125e-24,4.097466024374564e-24
-631.4935381062855,4.654932237170416e-24,3.9061772189714825e-24,3.8909196208706256e-24
-628.2879871514313,4.6985223924425135e-24,3.854034018135674e-24,3.822431761973165e-24
-625.0824361965771,4.7437050172015455e-24,3.9762464411041504e-24,3.9004140834408545e-24
-621.8768852417228,4.789711825821093e-24,4.207637491520588e-24,4.073604057713097e-24
-618.6713342868685,4.8375020390404746e-24,4.4493238819425284e-24,4.273159452896181e-24
-615.4657833320143,4.886323592118564e-24,4.637215287893491e-24,4.445840547764331e-24
-612.26023237716,4.936593570236022e-24,4.759467046443902e-24,4.578389776978026e-24
-609.0546814223057,4.9883375016899924e-24,4.841641692407721e-24,4.690396147742912e-24
-605.8491304674516,5.0413756410821065e-24,4.944583850136878e-24,4.8262190628780525e-24
-602.6435795125973,5.0959410890429695e-24,5.108197747909106e-24,5.01364239145634e-24
-599.4380285577431,5.152013682777471e-24,5.272712963144865e-24,5.190182161982326e-24
-596.2324776028889,5.209656860595211e-24,5.339818090397793e-24,5.257179238151063e-24
-593.0269266480346,5.268915193302644e-24,5.289631154721515e-24,5.194012093005446e-24
-589.8213756931804,5.329899098406653e-24,5.214858552936442e-24,5.097036093388633e-24
-586.6158247383262,5.3924590161608355e-24,5.186018010925151e-24,5.032913188585066e-24
-583.4102737834719,5.456804900265908e-24,5.186761872280209e-24,5.0002528415750394e-24
-580.2047228286176,5.523007390876401e-24,5.158673881545745e-24,4.956713201465768e-24
-576.9991718737634,5.590986218950182e-24,5.0509543937259544e-24,4.874201644876277e-24
-573.7936209189091,5.660834118764477e-24,4.878831794414193e-24,4.75746700341863e-24
-570.5880699640549,5.732558494859526e-24,4.7115873223128605e-24,4.664711328413164e-24
-567.3825190092007,5.8064999871277816e-24,4.6685754056178916e-24,4.679019932977512e-24
-564.1769680543465,5.882581635144332e-24,4.862088555835325e-24,4.880241455698188e-24
-560.9714170994922,5.960519777587093e-24,5.33221941917249e-24,5.310100790796607e-24
-557.765866144638,6.041082590854902e-24,6.045268309212393e-24,5.937875820063949e-24
-554.5603151897838,6.1232612807175326e-24,6.790203498418171e-24,6.6053291671058575e-24
-551.3547642349295,6.2086391915045625e-24,7.405679153890933e-24,7.16083414541292e-24
-548.1492132800753,6.2955686278828785e-24,7.718038992403524e-24,7.487284731115948e-24
-544.943662325221,6.3857331996076706e-24,7.812705606048398e-24,7.610865508131245e-24
-541.7381113703667,6.4780182346328654e-24,7.618925597200962e-24,7.510713822992647e-24
-538.5325604155125,6.5733737231242025e-24,7.271438183239808e-24,7.224752825819683e-24
-535.3270094606582,6.671047700605711e-24,6.700572656833219e-24,6.749120822565729e-24
-532.121458505804,6.77173486327565e-24,6.111298051378553e-24,6.203287814806516e-24
