propagation_step,relative_energy_drift
0,0.0
1,4.440892098500626e-16
2,6.661338147750939e-16
3,1.3322676295501878e-15
4,1.7763568394002505e-15
5,1.9984014443252818e-15
6,2.4424906541753444e-15
7,2.886579864025407e-15
8,3.3306690738754696e-15
9,3.9968028886505635e-15
10,4.440892098500626e-15
11,4.884981308350689e-15
12,5.329070518200751e-15
13,5.995204332975845e-15
14,6.439293542825908e-15
15,6.661338147750939e-15
16,6.8833827526759706e-15
17,7.327471962526033e-15
18,7.771561172376096e-15
19,7.993605777301127e-15
20,8.659739592076221e-15
21,9.103828801926284e-15
22,9.547918011776346e-15
23,9.992007221626409e-15
24,1.0436096431476471e-14
25,1.1102230246251565e-14
26,1.1324274851176597e-14
27,1.1546319456101628e-14
28,1.199040866595169e-14
29,1.2434497875801753e-14
30,1.3322676295501878e-14
31,1.354472090042691e-14
32,1.3988810110276972e-14
33,1.4654943925052066e-14
34,1.4876988529977098e-14
35,1.5765166949677223e-14
36,1.5987211554602254e-14
37,1.6653345369377348e-14
38,1.687538997430238e-14
39,1.7541523789077473e-14
40,1.7985612998927536e-14
41,1.8207657603852567e-14
42,1.865174681370263e-14
43,1.9095836023552692e-14
44,1.9539925233402755e-14
45,1.9984014443252818e-14
46,2.042810365310288e-14
47,2.0650148258027912e-14
48,2.1316282072803006e-14
49,2.19824158875781e-14
50,2.220446049250313e-14
51,2.2648549702353193e-14
52,2.3092638912203256e-14
53,2.3314683517128287e-14
54,2.353672812205332e-14
55,2.4424906541753444e-14
56,2.4868995751603507e-14
57,2.5091040356528538e-14
58,2.5757174171303632e-14
59,2.5979218776228663e-14
60,2.6645352591003757e-14
61,2.708944180085382e-14
62,2.7533531010703882e-14
63,2.7977620220553945e-14
64,2.8199664825478976e-14
65,2.864375403532904e-14
66,2.886579864025407e-14
67,2.9531932455029164e-14
68,2.9976021664879227e-14
69,3.042011087472929e-14
70,3.086420008457935e-14
71,3.108624468950438e-14
72,3.1530333899354446e-14
73,3.197442310920451e-14
74,3.241851231905457e-14
75,3.2862601528904634e-14
76,3.3084646133829665e-14
77,3.352873534367973e-14
78,3.375077994860476e-14
79,3.441691376337985e-14
80,3.5083047578154947e-14
81,3.530509218307998e-14
82,3.574918139293004e-14
83,3.6193270602780103e-14
84,3.68594044175552e-14
85,3.730349362740526e-14
86,3.752553823233029e-14
87,3.7969627442180354e-14
88,3.8413716652030416e-14
89,3.885780586188048e-14
90,3.930189507173054e-14
91,3.9745984281580604e-14
92,4.0190073491430667e-14
93,4.063416270128073e-14
94,4.107825191113079e-14
95,4.1522341120980855e-14
96,4.196643033083092e-14
97,4.218847493575595e-14
98,4.263256414560601e-14
99,4.3298697960381105e-14
100,4.374278717023117e-14
101,4.39648317751562e-14
102,4.440892098500626e-14
103,4.5075054799781356e-14
104,4.551914400963142e-14
105,4.596323321948148e-14
106,4.6407322429331543e-14
107,4.6629367034256575e-14
108,4.707345624410664e-14
109,4.773959005888173e-14
110,4.8183679268731794e-14
111,4.8405723873656825e-14
112,4.907185768843192e-14
113,4.951594689828198e-14
114,4.973799150320701e-14
115,5.040412531798211e-14
116,5.084821452783217e-14
117,5.129230373768223e-14
118,5.1736392947532295e-14
119,5.218048215738236e-14
120,5.240252676230739e-14
121,5.306866057708248e-14
122,5.3734794391857577e-14
123,5.395683899678261e-14
124,5.440092820663267e-14
125,5.46229728115577e-14
126,5.5067062021407764e-14
127,5.5289106626332796e-14
128,5.595524044110789e-14
129,5.639932965095795e-14
130,5.684341886080802e-14
131,5.728750807065808e-14
132,5.773159728050814e-14
133,5.81756864903582e-14
134,5.861977570020827e-14
135,5.906386491005833e-14
136,5.950795411990839e-14
137,6.017408793468348e-14
138,6.061817714453355e-14
139,6.106226635438361e-14
140,6.128431095930864e-14
141,6.17284001691587e-14
142,6.217248937900877e-14
143,6.261657858885883e-14
144,6.283862319378386e-14
145,6.350475700855895e-14
146,6.394884621840902e-14
147,6.417089082333405e-14
148,6.461498003318411e-14
149,6.483702463810914e-14
150,6.550315845288424e-14
151,6.572520305780927e-14
152,6.616929226765933e-14
153,6.683542608243442e-14
154,6.705747068735946e-14
155,6.750155989720952e-14
156,6.794564910705958e-14
157,6.838973831690964e-14
158,6.861178292183467e-14
159,6.905587213168474e-14
160,6.972200594645983e-14
161,6.994405055138486e-14
162,7.038813976123492e-14
163,7.083222897108499e-14
164,7.127631818093505e-14
165,7.172040739078511e-14
166,7.216449660063518e-14
167,7.283063041541027e-14
168,7.327471962526033e-14
169,7.394085344003543e-14
170,7.416289804496046e-14
171,7.438494264988549e-14
172,7.505107646466058e-14
173,7.527312106958561e-14
174,7.571721027943568e-14
175,7.616129948928574e-14
176,7.682743330406083e-14
177,7.704947790898586e-14
178,7.749356711883593e-14
179,7.793765632868599e-14
180,7.838174553853605e-14
